,Period,short_description,Temperature
0,Today,Sunny,High: 61 °F
1,Tonight,Mostly Clear,Low: 35 °F
2,Thursday,Mostly Sunnythen Sunnyand Breezy,High: 61 °F
3,ThursdayNight,Mostly Clear,Low: 30 °F
4,Friday,Sunny,High: 55 °F
5,FridayNight,Clear,Low: 30 °F
6,Saturday,Sunny,High: 62 °F
7,SaturdayNight,Mostly Cloudy,Low: 34 °F
8,Sunday,Mostly Sunny,High: 57 °F
