,Period,short_description,Temperature
0,Today,Mostly Sunny,High: 77 °F
1,Tonight,Mostly Clear,Low: 51 °F
2,Thursday,Sunny,High: 84 °F
3,ThursdayNight,Clear,Low: 56 °F
4,Friday,Sunny,High: 88 °F
5,FridayNight,Mostly Clear,Low: 55 °F
6,Saturday,Sunny,High: 83 °F
7,SaturdayNight,Mostly Clear,Low: 55 °F
8,Sunday,Sunny,High: 82 °F
